NUMBER	GLOSS	MSEA_436
1	afraid	afraid
3	all	all
5	angry	angry
6	animal	animal
7	answer	answer
9	area under house	area under house
10	armpit	armpit
11	arrow	arrow
13	ashes	ashes
16	back	back
17	bad	bad
18	bald	bald
19	bamboo	bamboo
20	bamboo shoot	bamboo shoot
21	banana/plantain	banana
22	bark	tree bark
23	bark	bark
24	bathe	bathe
25	bear	bear
26	beard	beard
28	bee	bee
29	belly	belly
30	bend	bend
31	betel nut	betel nut
32	big	big
33	bird	bird
34	bird nest	bird nest
35	bite	bite
36	bitter	bitter
37	black	black
38	blanket	blanket
39	blind	blind
40	blood	blood
42	boat	boat
43	boil	boil
44	bone	bone
46	bow	bow, crossbow
47	brain	brain
48	branch	branch
50	breast/milk	milk
51	breath	breath
52	bright	bright
53	brother (eldr. of f.)	brother (eldr. of f.)
54	brother (eldr. of m.)	brother (eldr. of m.)
55	brother(yngr. of f.)	brother(yngr. of f.)
56	brother(yngr. of m.)	brother(yngr. of m.)
57	buffalo	buffalo
58	burn	burn
59	bury	bury
60	butterfly	butterfly
61	buttocks	buttocks
62	buy	buy
63	calf	calf
64	candle	candle
65	cane/rattan	cane/rattan
66	cat	cat
67	cave	cave
68	cheek	cheek
69	chicken	chicken
70	child	child
71	chin	chin
72	choose	choose
73	claw	finger nail
75	clothing	clothing
76	cloud	cloud
77	cockroach	cockroach
78	coconut	coconut
79	cold	cold
80	comb	comb
81	come	come
82	cook/boil	cook
83	cool	cool
84	corn	corn
85	correct	correct
86	cough	cough
87	count	count
88	cow	cow
89	crawl	crawl
90	crested	crested
91	crocodile	crocodile
92	cut	stab
93	dance	dance
94	dark	dark
95	day	day
96	deaf	deaf
97	deep	deep
98	deer	deer
100	die	die
101	difficult	difficult
102	dig	dig
103	dirty	dirty
104	disappear	disappear
105	disgusting	disgusting
106	do/make	do/make
107	dog	dog
108	don't do it	don't do it
109	door	door
111	dream	dream
112	drink	drink
113	drum	drum
114	drunk	drunk
115	dry	dry
116	duck	duck
117	dull	blunt
118	dust	dust
119	dye	dye
120	ear	ear
121	earth/soil	earth
122	east	east
123	easy	easy
124	eat	eat
125	egg	egg
126	eggplant	eggplant
127	eight	eight
128	elbow	elbow
129	elephant	elephant
131	enter	enter
132	exchange	exchange
133	excrement	excrement
134	extinguish	extinguish
135	eye	eye
136	eyebrow	eyebrow
137	eyelid	eyelid
138	face	face
139	fall	fall
140	far	far
141	fast	fast
142	fat (n.)	fat
143	fat (adj.)	fat
144	father	father
145	feather	feather
146	few	few
148	fight	fight
149	finger	finger
150	fire	fire
151	firewood	firewood
152	fish	fish
153	five	five
154	flesh/meat	flesh
155	float	float
156	flow	flow
157	flower	flower
158	fly	fly
159	fly (n.)	fly
160	fog	mist
161	foot	foot
162	forehead	forehead
163	forget	forget
164	four	four
167	friend	friend
168	frog	frog
169	fruit	fruit
170	full	full
171	full	full
172	garlic	garlic
173	ghost	ghost
174	gibbon	gibbon
175	ginger	ginger
176	give	give
177	gold	gold
178	gong	gong
179	good	good
181	grass	grass
183	green	green
184	grind	grind
185	gums	gums
186	hair	hair
187	half	half a unit
188	half a quantity	half a quantity
189	hand	hand/arm
190	hard	hard
191	hate	hate
192	he	he, she
193	head	head
194	hear	hear
195	heart	heart
196	heavy	heavy
197	heel	heel
200	hit	hit
202	horn	horn
204	hot	hot
205	house	house
206	how	how many
207	hundred	hundred
208	hungry	hungry
209	hunt	hunt
210	hurt	hurt
211	husband	husband
212	I (1sg.)	I (familiar)
217	insect	insect
218	intestine	intestine
219	iron	iron
220	irrigated paddy field	wet rice field
221	itchy	itch
222	jackfruit (fruit)	jackfruit (fruit)
224	kapok	kapok
225	kick	kick
226	kill	kill
227	knee	knee
228	kneel	kneel
229	knife	knife
230	know	know
231	ladle	coconut shell ladle
233	laugh	laugh
234	launder	launder
235	leaf	leaf
236	leech (land)	land leech
237	left (hand)	left (side)
238	leg	leg
239	lick	lick
241	lie, fib	lie, fib
242	lift	lift
243	lightning	lightning
245	lime	lime for betel
246	liquor	liquor
248	liver	liver
249	lizard (house)	lizard (house)
250	long	long
251	loose	loose
252	louse	louse
253	love	love
254	lungs	lungs
255	man	man
256	mango (fruit)	mango (fruit)
257	many	many
259	mat	mat
260	medicine	medicine
261	monkey	monkey
262	monkey	monkey
263	moon	moon
264	morning	morning
265	mortar	mortar
266	mosquito	mosquito
267	mother	mother
268	mountain	mountain
269	mouth	mouth
271	mushroom/fungus	mushroom
272	naked	naked
273	name	name
274	narrow	narrow
275	navel	navel
277	near	near
279	needle	needle
280	new	new
281	night	night
282	nine	nine
283	noon	noon
284	north	north
285	nose	nose
287	old	old
288	one	one
289	opium	opium
290	other	different
292	palm	palm
295	paper	paper
296	pay	pay
297	peanut	peanut
300	person	person
301	pestle	pestle
302	pangolin	pangolin
303	papaya	papaya
304	pig	pig
305	pillow	pillow
306	plant	plant
307	plate	plate
308	play	play
310	porcupine	porcupine
311	pot (cooking)	pot
312	pound (rice)	pound
313	pull	pull
314	pus	pus
315	push	push
317	rabbit	rabbit
318	rain	rain
319	rainbow	rainbow
320	rat	rat
321	red	red
322	red pepper	red pepper
323	return	return
324	rib	rib
325	rice (cooked)	cooked rice
326	rice (in fields)	paddy rice
327	rice (pounded)	pounded rice
328	rice seedling	rice seedling
329	right(hand)	right (side)
330	ring (finger)	ring
331	ripe	ripe
332	river	river
333	road (path)	road (path)
334	roof	roof
335	root	root
337	rotten	rotten
338	round	round
339	rub	rub
341	saliva	saliva
342	salt	salt
343	same	the same
344	sand	sand
345	sarong	sarong
346	scorpion	scorpion
347	scratch	scratch
348	sea	sea
349	see	see
350	seed	seed
351	sell	sell
352	seven	seven
353	sew	sew
354	shade/shadow	shadow
355	shallow	shallow
356	sharp	sharp
357	shave (beard)	shave (beard)
358	shin	shin
359	shiver	shiver
360	shoot	shoot
361	short (height)	short (height)
362	short (length)	short (length)
363	shout	shout
364	silver	silver
365	sing	sing
366	sink	sink
367	sister (eldr. of f.)	sister (eldr. of f.)
368	sister (eldr. of m.)	sister (elder of m)
369	sister (yngr. of f.)	sister (yngr. of f.)
370	sister (yngr. of m.)	sister (yngr. of m.)
371	sit	sit
372	six	six
373	skin	skin
374	skinny	skinny
375	sky	sky
376	sleep	sleep
377	sleeping area	sleeping area
378	slow	slow
379	small	small
380	smell	smell
381	smile	smile
382	smoke	smoke
383	smooth	smooth
384	snail	snail
385	snake	snake
386	sneeze	sneeze
387	snore	snore
391	some	some
392	son-in-law	son-in-law
393	sour	sour
394	south	south
395	speak	speak
396	spear	spear
397	spicy, hot	spicy, hot
398	spider	spider
399	spider web	spider web
400	spit	spit
401	split	split
402	split w knife	split w knife
403	spoon	spoon
405	stab	stab
406	stand	stand
407	star	star
408	steal	steal
410	stone	stone
411	straight	straight
412	stream	stream
413	strong	strong
414	suck	suck
415	sugarcane	sugarcane
416	sun	sun
417	swallow	swallow
418	sweat	sweat
419	sweet	sweet
420	swell	swell
422	swim	swim
423	tail	tail
424	take	take
425	tall	tall
426	tell	tell
427	ten	ten
428	termite	termite
429	that	that
431	they	they
432	thick	thick
433	thigh	thigh
434	thin	thin
435	think	think
436	thirsty	thirsty
437	this	this
439	thorn	thorn
440	thousand	thousand
441	three	three
442	throw	throw
443	thunder	thunder
444	tie	tie
445	tiger	tiger
446	tired	tired
447	tomorrow	tomorrow
448	tongue	tongue
449	tooth	tooth
450	tree	tree
451	trousers	trousers
453	turtle	turtle
454	tusk	tusk
456	two	two
457	urine	urine
458	village	village
459	vomit	vomit
460	wait	wait
461	walk	walk
462	wall of house	wall of house
463	warm	warm
464	wash	wash
465	water	water
466	water leech	water leech
467	we	we (inclusive)
468	weak	weak
469	weave (cloth)	weave (cloth)
470	weep	weep
471	west	west
472	wet	wet
473	what	what
474	when (future)	when (future)
475	when (past)	when (past)
476	where	where
477	whistle	whistle
478	white	white
479	who	who
480	wide	wide
481	widow	widow
482	wife	wife
483	wind	wind
484	window	window
485	wing	wing
486	wink	wink
487	winnow (rice)	winnow (rice)
488	wipe	wipe
490	woman	woman
491	woods	forest
492	work	work
493	worm	earthworm
494	wrong	wrong
495	yawn	yawn
496	year	year
497	yellow	yellow
498	yesterday	yesterday
499	you (2s.)	thou (2s)
500	you (2pl.)	you
