NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
1	5	http://semshifts.iling-ran.ru/show-meaning.html?id=5	(gun)powder	3	736459
2	62	http://semshifts.iling-ran.ru/show-meaning.html?id=62	24 hours	3	5533
3	64	http://semshifts.iling-ran.ru/show-meaning.html?id=64	abies (Abies)	3	706003
4	71	http://semshifts.iling-ran.ru/show-meaning.html?id=71	acerb, tart, harsh (taste or smell)	3	838324
5	76	http://semshifts.iling-ran.ru/show-meaning.html?id=76	active	6	8019
6	81	http://semshifts.iling-ran.ru/show-meaning.html?id=81	affair	4	NAN
7	87	http://semshifts.iling-ran.ru/show-meaning.html?id=87	air	5	106
8	98	http://semshifts.iling-ran.ru/show-meaning.html?id=98	amazing	4	803175
9	100	http://semshifts.iling-ran.ru/show-meaning.html?id=100	ambush, embuscade	7	1117421
10	104	http://semshifts.iling-ran.ru/show-meaning.html?id=104	anger	4	1156554
11	105	http://semshifts.iling-ran.ru/show-meaning.html?id=105	angry	9	7613
12	106	http://semshifts.iling-ran.ru/show-meaning.html?id=106	animal	5	194
13	109	http://semshifts.iling-ran.ru/show-meaning.html?id=109	ant	3	160271
14	113	http://semshifts.iling-ran.ru/show-meaning.html?id=113	apple	3	5781
15	117	http://semshifts.iling-ran.ru/show-meaning.html?id=117	armpit	4	818235
16	118	http://semshifts.iling-ran.ru/show-meaning.html?id=118	army	5	6414
17	119	http://semshifts.iling-ran.ru/show-meaning.html?id=119	arrow	8	420887
18	121	http://semshifts.iling-ran.ru/show-meaning.html?id=121	ash (tree)	3	474721
19	123	http://semshifts.iling-ran.ru/show-meaning.html?id=123	aspen	3	384856
20	127	http://semshifts.iling-ran.ru/show-meaning.html?id=127	attentive	3	839411
21	129	http://semshifts.iling-ran.ru/show-meaning.html?id=129	autumn	3	5615
22	132	http://semshifts.iling-ran.ru/show-meaning.html?id=132	back (body part)	14	5648
23	134	http://semshifts.iling-ran.ru/show-meaning.html?id=134	back of the head	5	1580787
24	136	http://semshifts.iling-ran.ru/show-meaning.html?id=136	bad	24	5650
25	137	http://semshifts.iling-ran.ru/show-meaning.html?id=137	bad (ethically)	5	5650
26	139	http://semshifts.iling-ran.ru/show-meaning.html?id=139	bad person	3	NAN
27	144	http://semshifts.iling-ran.ru/show-meaning.html?id=144	bald	6	490061
28	148	http://semshifts.iling-ran.ru/show-meaning.html?id=148	barbel	4	1580799
29	150	http://semshifts.iling-ran.ru/show-meaning.html?id=150	barley	3	398106
30	154	http://semshifts.iling-ran.ru/show-meaning.html?id=154	basis	4	355706
31	157	http://semshifts.iling-ran.ru/show-meaning.html?id=157	bastard	7	872861
32	158	http://semshifts.iling-ran.ru/show-meaning.html?id=158	bat (Microchiroptera)	3	7344
33	162	http://semshifts.iling-ran.ru/show-meaning.html?id=162	beak	9	1142217
34	164	http://semshifts.iling-ran.ru/show-meaning.html?id=164	bear (Ursus)	4	7552
35	165	http://semshifts.iling-ran.ru/show-meaning.html?id=165	beard	5	333455
36	167	http://semshifts.iling-ran.ru/show-meaning.html?id=167	beautiful	10	6037
37	173	http://semshifts.iling-ran.ru/show-meaning.html?id=173	beech	5	880926
38	177	http://semshifts.iling-ran.ru/show-meaning.html?id=177	before	3	8159
39	178	http://semshifts.iling-ran.ru/show-meaning.html?id=178	beginning	6	6405
40	180	http://semshifts.iling-ran.ru/show-meaning.html?id=180	behind	8	6945
41	183	http://semshifts.iling-ran.ru/show-meaning.html?id=183	belly	16	5516
42	188	http://semshifts.iling-ran.ru/show-meaning.html?id=188	berry	4	384870
43	191	http://semshifts.iling-ran.ru/show-meaning.html?id=191	big	22	5437
44	192	http://semshifts.iling-ran.ru/show-meaning.html?id=192	bile, gall	6	723561
45	193	http://semshifts.iling-ran.ru/show-meaning.html?id=193	birch	3	7898
46	195	http://semshifts.iling-ran.ru/show-meaning.html?id=195	bird	5	400
47	199	http://semshifts.iling-ran.ru/show-meaning.html?id=199	birthmark	3	708846
