ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1964-100-1	1	alle	все	98	ALL
Swadesh-1964-100-4	4	ashes	зола	646	ASH
Swadesh-1964-100-8	8	bark	кора	1204	BARK
Swadesh-1964-100-10	10	belly	живот	1251	BELLY
Swadesh-1964-100-12	12	big	большой	1202	BIG
Swadesh-1964-100-13	13	bird	птица	937	BIRD
Swadesh-1964-100-14	14	bite	кусать	1403	BITE
Swadesh-1964-100-15	15	black	черный	163	BLACK
Swadesh-1964-100-16	16	blood	кровь	946	BLOOD
Swadesh-1964-100-18	18	bone	кость	1394	BONE
Swadesh-1964-100-21	21	burn	гореть	141	BURN (SOMETHING)
Swadesh-1964-100-24	24	cloud	облако	1489	CLOUD
Swadesh-1964-100-25	25	cold	холодный	1287	COLD
Swadesh-1964-100-26	26	come	приходить	1446	COME
Swadesh-1964-100-33	33	die	умирать	1494	DIE
Swadesh-1964-100-36	36	dog	собака	2009	DOG
Swadesh-1964-100-37	37	drink	пить	1401	DRINK
Swadesh-1964-100-38	38	dry	сухо	1398	DRY
Swadesh-1964-100-41	41	ear	ухо	1247	EAR
Swadesh-1964-100-42	42	earth	земля	1228	EARTH (SOIL)
Swadesh-1964-100-43	43	eat	есть (питаться)	1336	EAT
Swadesh-1964-100-44	44	egg	яйцо	744	EGG
Swadesh-1964-100-46	46	eye	глаз	1248	EYE
Swadesh-1964-100-49	49	fat	жирный	1279	FAT (OBESE)
Swadesh-1964-100-52	52	feather	перо	1201	FEATHER
Swadesh-1964-100-55	55	fire	огонь	221	FIRE
Swadesh-1964-100-56	56	fish	рыба	227	FISH
Swadesh-1964-100-61	61	fly	лететь	1441	FLY (MOVE THROUGH AIR)
Swadesh-1964-100-63	63	foot	ступня	1301	FOOT
Swadesh-1964-100-66	66	give	давать	1447	GIVE
Swadesh-1964-100-67	67	good	хороший	1035	GOOD
Swadesh-1964-100-69	69	green	зеленый	1425	GREEN
Swadesh-1964-100-71	71	hair	волосы	1040	HAIR
Swadesh-1964-100-72	72	hand	рука	1277	HAND
Swadesh-1964-100-74	74	head	голова	1256	HEAD
Swadesh-1964-100-75	75	hear	слышать	1408	HEAR
Swadesh-1964-100-76	76	heart	сердце	1223	HEART
Swadesh-1964-100-84	84	I	я (местоимение)	1209	I
Swadesh-1964-100-88	88	kill	убивать	1417	KILL
