ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	NUMBER	CHINESE
Wang-2006-200-1	98	ALL	all	1	都
Wang-2006-200-2	646	ASH	ash	2	灰烬
Wang-2006-200-3	1204	BARK	bark	3	树皮
Wang-2006-200-4	1251	BELLY	belly	4	肚子
Wang-2006-200-5	1202	BIG	big	5	大
Wang-2006-200-6	937	BIRD	bird	6	鸟
Wang-2006-200-7	1403	BITE	bite	7	咬
Wang-2006-200-8	163	BLACK	black	8	黑
Wang-2006-200-9	946	BLOOD	blood	9	血
Wang-2006-200-10	1394	BONE	bone	10	骨
Wang-2006-200-11	1402	BREAST	breasts	11	乳房
Wang-2006-200-12	2102	BURN	burn	12	烧
Wang-2006-200-13	2128	NAIL OR CLAW	claw	13	爪子
Wang-2006-200-14	1489	CLOUD	cloud	14	云
Wang-2006-200-15	1287	COLD (OF TEMPERATURE)	cold	15	冷
Wang-2006-200-16	1446	COME	come	16	来
Wang-2006-200-17	1494	DIE	die	17	死
Wang-2006-200-18	2009	DOG	dog	18	狗
Wang-2006-200-19	1401	DRINK	drink	19	喝
Wang-2006-200-20	1398	DRY	dry	20	干
Wang-2006-200-21	1247	EAR	ear	21	耳朵
Wang-2006-200-22	1228	EARTH (SOIL)	earth	22	地
Wang-2006-200-23	1336	EAT	eat	23	吃
Wang-2006-200-24	744	EGG	egg	24	蛋
Wang-2006-200-25	1248	EYE	eye	25	眼睛
Wang-2006-200-26	1201	FEATHER	feather	26	羽毛
Wang-2006-200-27	221	FIRE	fire	27	火
Wang-2006-200-28	227	FISH	fish	28	鱼
Wang-2006-200-29	634	MEAT	flesh	29	肉
Wang-2006-200-30	1441	FLY (MOVE THROUGH AIR)	fly	30	飞
Wang-2006-200-31	1301	FOOT	foot	31	脚
Wang-2006-200-32	1429	FULL	full	32	满
Wang-2006-200-33	1447	GIVE	give	33	给
Wang-2006-200-34	1035	GOOD	good	34	好
Wang-2006-200-35	323	GREASE	grease	35	猪油
Wang-2006-200-36	1425	GREEN	green	36	绿
Wang-2006-200-37	1040	HAIR	hair	37	头发
