ID	NUMBER	ENGLISH	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chacon-2022-94-1	1	ALL	todos	98	ALL
Chacon-2022-94-2	2	ASH	cinza	646	ASH
Chacon-2022-94-3	3	BARK	casca	3865	BARK OR SHELL
Chacon-2022-94-4	4	BELLY	barriga	1251	BELLY
Chacon-2022-94-5	5	BIG	grande	1202	BIG
Chacon-2022-94-6	6	BIRD	pássaro	937	BIRD
Chacon-2022-94-7	7	BITE	morder	1403	BITE
Chacon-2022-94-8	8	BLACK	preto	163	BLACK
Chacon-2022-94-9	9	BLOOD	sangue	946	BLOOD
Chacon-2022-94-10	10	BONE	osso	1394	BONE
Chacon-2022-94-11	11	CLAW OR NAIL	unha	2128	CLAW OR NAIL
Chacon-2022-94-12	12	CLOUD	nuvem	1489	CLOUD
Chacon-2022-94-13	13	COLD	frio	1287	COLD
Chacon-2022-94-14	14	COME	vir	1446	COME
Chacon-2022-94-15	15	DIE	morrer	1494	DIE
Chacon-2022-94-16	16	DOG	cachorro	2009	DOG
Chacon-2022-94-17	17	DRINK	beber	1401	DRINK
Chacon-2022-94-18	18	DRY	seco	1398	DRY
Chacon-2022-94-19	19	EAR	orelha	1247	EAR
Chacon-2022-94-20	20	EARTH (SOIL)	terra	1228	EARTH (SOIL)
Chacon-2022-94-21	21	EAT	comer	1336	EAT
Chacon-2022-94-22	22	EGG	ovo	744	EGG
Chacon-2022-94-23	23	FAT (ORGANIC SUBSTANCE)	gordura	323	FAT (ORGANIC SUBSTANCE)
Chacon-2022-94-24	24	FLY (MOVE THROUGH AIR)	voar	1441	FLY (MOVE THROUGH AIR)
Chacon-2022-94-25	25	FOOT	pé	1301	FOOT
Chacon-2022-94-26	26	FULL	cheio	1429	FULL
Chacon-2022-94-27	27	GIVE	dar	1447	GIVE
Chacon-2022-94-28	28	GOOD	bom	1035	GOOD
Chacon-2022-94-29	29	GREEN	verde	1425	GREEN
Chacon-2022-94-30	30	HAIR (HEAD)	cabelo	2648	HAIR (HEAD)
Chacon-2022-94-31	31	HAND	mão	1277	HAND
Chacon-2022-94-32	32	HEAD	cabeça	1256	HEAD
Chacon-2022-94-33	33	HEAD LOUSE	piolho	310	HEAD LOUSE
Chacon-2022-94-34	34	HEAR	ouvir	1408	HEAR
Chacon-2022-94-35	35	HEART	coração	1223	HEART
Chacon-2022-94-36	36	HORN (ANATOMY)	chifre	1393	HORN (ANATOMY)
Chacon-2022-94-37	37	HOT OR WARM	quente	2272	HOT OR WARM
Chacon-2022-94-38	38	I	eu	1209	I
Chacon-2022-94-39	39	KILL	matar	1417	KILL
